market,symbol,phase,pip_or_tick_size,entry_rank,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,trades,wins,losses,win_rate_pct,profit_factor,avg_pips,signal_exit_trades,signal_exit_win_rate_pct,signal_exit_profit_factor,signal_exit_avg_pips
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,5,10,113,78,35,69.02654867256636,1.1049967797259186,0.31667168141593277,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,5,20,113,90,23,79.64601769911505,0.9904355509579544,-0.037310619469023004,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,5,50,113,100,13,88.49557522123894,0.8794237003745102,-0.590407079646017,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,5,100,113,101,12,89.38053097345133,1.2425518556254644,0.8492150442477835,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,5,200,113,101,12,89.38053097345133,1.1527666066513345,0.5765203539822932,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,8,1,113,23,90,20.353982300884958,1.8328744444444445,0.6633513274336282,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,8,2,113,29,84,25.663716814159294,1.2438023809523813,0.3624672566371686,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,8,3,113,38,75,33.6283185840708,1.248705777777778,0.495210619469027,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,8,4,113,42,71,37.16814159292036,1.101967605633803,0.2562725663716819,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,8,5,113,51,62,45.13274336283185,1.231157419354838,0.6341486725663695,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,8,8,113,63,50,55.75221238938053,1.178512485059548,0.6205433628318453,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,8,10,113,68,45,60.17699115044248,1.1275891286371975,0.4977212389380411,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,8,20,113,84,29,74.33628318584071,1.1145531593170206,0.5685176991150322,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,8,50,113,94,19,83.1858407079646,0.9753344529811107,-0.15711946902657087,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,8,100,113,96,17,84.95575221238938,1.5934396166097222,2.366575221238908,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,8,200,113,96,17,84.95575221238938,1.4914531556660275,2.093880530973418,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,10,1,113,19,94,16.8141592920354,1.559220212765949,0.46519203539822285,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,10,2,113,25,88,22.123893805309734,1.131063068181817,0.20413362831858248,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,10,3,113,35,78,30.973451327433626,1.237464102564105,0.4917398230088548,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,10,4,113,39,74,34.51327433628318,1.1092057432432463,0.2860610619469099,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,10,5,113,48,65,42.47787610619469,1.2570003076923137,0.7391601769911686,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,10,8,113,60,53,53.09734513274337,1.211098115565987,0.7786522123893908,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,10,10,113,65,48,57.52212389380531,1.1574071891072744,0.6558300884955865,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,10,20,113,82,31,72.56637168141593,1.1899250927290619,1.0098123893805424,113,83.1858407079646,2.350209907333294,5.875692920354001
